"","measure","location","age_group","year","mean"
"1","Unmet need for any contraceptive method","China","15-49 years",1990,0.08848
"2","Unmet need for any contraceptive method","China","15-49 years",1991,0.08543
"3","Unmet need for any contraceptive method","China","15-49 years",1992,0.08247
"4","Unmet need for any contraceptive method","China","15-49 years",1993,0.07941
"5","Unmet need for any contraceptive method","China","15-49 years",1994,0.07666
"6","Unmet need for any contraceptive method","China","15-49 years",1995,0.07375
"7","Unmet need for any contraceptive method","China","15-49 years",1996,0.07089
"8","Unmet need for any contraceptive method","China","15-49 years",1997,0.06828
"9","Unmet need for any contraceptive method","China","15-49 years",1998,0.06677
"10","Unmet need for any contraceptive method","China","15-49 years",1999,0.06529
"11","Unmet need for any contraceptive method","China","15-49 years",2000,0.06396
"12","Unmet need for any contraceptive method","China","15-49 years",2001,0.06251
"13","Unmet need for any contraceptive method","China","15-49 years",2002,0.06067
"14","Unmet need for any contraceptive method","China","15-49 years",2003,0.0586
"15","Unmet need for any contraceptive method","China","15-49 years",2004,0.05644
"16","Unmet need for any contraceptive method","China","15-49 years",2005,0.05416
"17","Unmet need for any contraceptive method","China","15-49 years",2006,0.05218
"18","Unmet need for any contraceptive method","China","15-49 years",2007,0.0504
"19","Unmet need for any contraceptive method","China","15-49 years",2008,0.0488
"20","Unmet need for any contraceptive method","China","15-49 years",2009,0.04723
"21","Unmet need for any contraceptive method","China","15-49 years",2010,0.04542
"22","Unmet need for any contraceptive method","China","15-49 years",2011,0.04356
"23","Unmet need for any contraceptive method","China","15-49 years",2012,0.04171
"24","Unmet need for any contraceptive method","China","15-49 years",2013,0.03978
"25","Unmet need for any contraceptive method","China","15-49 years",2014,0.0377
"26","Unmet need for any contraceptive method","China","15-49 years",2015,0.03573
"27","Unmet need for any contraceptive method","China","15-49 years",2016,0.03384
"28","Unmet need for any contraceptive method","China","15-49 years",2017,0.03198
"29","Unmet need for any contraceptive method","China","15-49 years",2018,0.03021
"30","Unmet need for any contraceptive method","China","15-49 years",2019,0.02854
"31","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1990,0.06614
"32","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1991,0.06655
"33","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1992,0.0672
"34","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1993,0.068
"35","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1994,0.06873
"36","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1995,0.06947
"37","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1996,0.07004
"38","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1997,0.07048
"39","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1998,0.07056
"40","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",1999,0.07019
"41","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2000,0.06946
"42","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2001,0.06837
"43","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2002,0.067
"44","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2003,0.06543
"45","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2004,0.06366
"46","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2005,0.0617
"47","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2006,0.05975
"48","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2007,0.05692
"49","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2008,0.05411
"50","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2009,0.05148
"51","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2010,0.04908
"52","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2011,0.04688
"53","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2012,0.04488
"54","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2013,0.0431
"55","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2014,0.04148
"56","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2015,0.04085
"57","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2016,0.0403
"58","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2017,0.03985
"59","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2018,0.03921
"60","Unmet need for any contraceptive method","Democratic People's Republic of Korea","15-49 years",2019,0.03856
"61","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1990,0.06456
"62","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1991,0.06187
"63","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1992,0.05937
"64","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1993,0.057
"65","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1994,0.05482
"66","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1995,0.05288
"67","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1996,0.05103
"68","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1997,0.04909
"69","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1998,0.0473
"70","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",1999,0.04565
"71","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2000,0.04411
"72","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2001,0.04277
"73","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2002,0.04145
"74","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2003,0.04015
"75","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2004,0.03895
"76","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2005,0.03774
"77","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2006,0.03656
"78","Unmet need for any contraceptive method","Taiwan (Province of China)","15-49 years",2007,0.03535
